"","implanon","male.ster","iuc.mirena","female.ster","iuc.paragard","depoprovera","nuvaring","pill","diaphram","sponge.n.parous","condom.male","condom.female","withdrawal","fertility.aware","sponge.parous","spermicide","no.method","years"
"1",0.9995,0.9985,0.998,0.995,0.992,0.94,0.91,0.91,0.88,0.88,0.82,0.79,0.78,0.76,0.76,0.72,0.15,1
"2",0.99900025,0.99700225,0.996004,0.990025,0.984064,0.8836,0.8281,0.8281,0.7744,0.7744,0.6724,0.6241,0.6084,0.5776,0.5776,0.5184,0.0225,2
"3",0.998500749875,0.995506746625,0.994011992,0.985074875,0.976191488,0.830584,0.753571,0.753571,0.681472,0.681472,0.551368,0.493039000000001,0.474552,0.438976,0.438976,0.373248,0.00337500000000002,3
"4",0.998001499500062,0.994013486505062,0.992023968016,0.980149500625,0.968381956096,0.78074896,0.68574961,0.68574961,0.59969536,0.59969536,0.45212176,0.38950081,0.37015056,0.33362176,0.33362176,0.26873856,0.00050624999999993,4
"5",0.997502498750312,0.992522466275305,0.990039920079968,0.975248753121875,0.960634900447232,0.7339040224,0.6240321451,0.6240321451,0.5277319168,0.5277319168,0.3707398432,0.3077056399,0.2887174368,0.2535525376,0.2535525376,0.1934917632,7.59375000000118e-05,5
"6",0.997003747500937,0.991033682575892,0.988059840239808,0.970372509356266,0.952949821243654,0.689869781056,0.567869252041,0.567869252041,0.464404086784,0.464404086784,0.304006671424,0.243087455521,0.225199600704,0.192699928576,0.192699928576,0.139314069504,1.13906249999962e-05,6
"7",0.996505245627187,0.989547132052028,0.986083720559328,0.965520646809484,0.945326222673705,0.64847759419264,0.51676101935731,0.51676101935731,0.40867559636992,0.40867559636992,0.24928547056768,0.19203908986159,0.17565568854912,0.14645194571776,0.14645194571776,0.10030613004288,1.70859375003829e-06,7
"8",0.996006993004373,0.98806281135395,0.98411155311821,0.960693043575437,0.937763612892315,0.609568938541082,0.470252527615152,0.470252527615152,0.35963452480553,0.35963452480553,0.204414085865498,0.151710880990656,0.137011437068314,0.111303478745498,0.111303478745498,0.0722204136308735,2.56289062416926e-07,8
"9",0.995508989507871,0.986580717136919,0.982143330011973,0.95588957835756,0.930261503989177,0.572994802228616,0.427929800129789,0.427929800129789,0.316478381828866,0.316478381828866,0.167619550409708,0.119851595982619,0.106868920913285,0.0845906438465782,0.0845906438465782,0.0519986978142291,3.84433593847433e-08,9
"10",0.995011235013117,0.985100846061214,0.980179043351949,0.951110130465772,0.922819411957263,0.5386151140949,0.389416118118108,0.389416118118108,0.278500976009402,0.278500976009402,0.137448031335961,0.0946827608262686,0.083357758312362,0.0642888893233995,0.0642888893233995,0.0374390624262448,5.76650394101819e-09,10
"11",0.994513729395611,0.983623194792122,0.978218685265245,0.946354579813443,0.915436856661605,0.506298207249206,0.354368667487478,0.354368667487478,0.245080858888274,0.245080858888274,0.112707385695488,0.0747993810527522,0.0650190514836424,0.0488595558857836,0.0488595558857836,0.0269561249468964,8.64975646663879e-10,11
"12",0.994016472530913,0.982147759999934,0.976262247894715,0.941622806914376,0.908113361808312,0.475920314814253,0.322475487413605,0.322475487413605,0.215671155821681,0.215671155821681,0.0924200562702999,0.0590915110316743,0.050714860157241,0.0371332624731955,0.0371332624731955,0.0194084099617653,1.29746324795121e-10,12
"13",0.993519464294647,0.980674538359934,0.974309723398926,0.936914692879804,0.900848454913846,0.447365095925398,0.29345269354638,0.29345269354638,0.189790617123079,0.189790617123079,0.0757844461416459,0.0466822937150226,0.039557590922648,0.0282212794796286,0.0282212794796286,0.013974055172471,1.94619875770741e-11,13
"14",0.9930227045625,0.979203526552394,0.972361103952128,0.932230119415405,0.893641667274535,0.420523190169874,0.267041951127206,0.267041951127206,0.16701574306831,0.16701574306831,0.0621432458361496,0.0368790120348679,0.0308549209196655,0.0214481724045177,0.0214481724045177,0.0100613197241791,2.91922042094939e-12,14
"15",0.992526193210219,0.977734721262565,0.970416381744224,0.927568968818328,0.886492533936339,0.395291798759682,0.243008175525758,0.243008175525758,0.146973853900113,0.146973853900113,0.0509574615856427,0.0291344195075456,0.024066838317339,0.0163006110274335,0.0163006110274335,0.00724415020140901,4.37871960912162e-13,15
"16",0.992029930113614,0.976268119180671,0.968475548980735,0.922931123974236,0.879400593664848,0.371574290834101,0.221137439728439,0.221137439728439,0.129336991432099,0.129336991432099,0.041785118500227,0.023016191410961,0.0187721338875244,0.0123884643808494,0.0123884643808494,0.00521578814501455,6.57252030578093e-14,16
"17",0.991533915148557,0.9748037170019,0.966538597882774,0.918316468354365,0.872365388915529,0.349279833384055,0.20123507015288,0.20123507015288,0.113816552460247,0.113816552460247,0.0342637971701862,0.0181827912146593,0.014642264432269,0.00941523292944557,0.00941523292944557,0.00375536746441041,9.76996261670138e-15,17
"18",0.991038148190983,0.973341511426398,0.964605520687008,0.913724886012593,0.865386465804205,0.328323043381012,0.183123913839121,0.183123913839121,0.100158566165018,0.100158566165018,0.0280963136795527,0.0143644050595808,0.0114209662571698,0.0071555770263787,0.0071555770263787,0.00270386457437555,1.55431223447522e-15,18
"19",0.990542629116887,0.971881499159258,0.962676309645634,0.90915626158253,0.858463374077772,0.308623660778151,0.1666427615936,0.1666427615936,0.0881395382252155,0.0881395382252155,0.0230389772172332,0.0113478799970688,0.00890835368059251,0.00543823854004777,0.00543823854004777,0.0019467824935504,2.22044604925031e-16,19
